Username,Review,airline
Ritesh Aggarwal,"Booked flight from Delhi to Sydney for my parent and they keep on cancelling and extending flight. When it came for deduction they deducted on same day but now i got fed-up with them as they keep on extending ticket and try to cancel ticket which they send cancellation on.

They can't even tell how much they are deducting and then it will take 3-6 months to refund money in this digital age. They just know how to collect money and make make money from this SCAM. recommend NOT to BOOK AT ALL with them.",mas
Tara-lets T,"I was looking for affordable airfare for multiple flights, I saw airpaz offer which is very convincing but I still hesitated so I only booked one way ticket to check if they are legit, after they took the payment successfully I was waiting for the ticket to be email however hours and days passed by I never receive my ticket. Thank God I only booked one way it so I don't loose much but I feel sorry coz there are company like this operating and scamming people.",mas
KING,"I booked a flight from Delhi to KL on the 2 July. On the same day, in the evening, I was sent an email and my flight had been cancelled.
I rebooked it on the 3 July and after 3 days I was sent another email that my flight was cancelled again!
after calling up, I was told the next available flight is on the 6 August and when I asked for a refund, they said, it will take 3-6 months to come!
WTF man....
Close the airlines down!! or sell it to me! I will show you how to run it !",mas
paul,"Booked a flight with these thieves from Jakarta to Adalaide Australia, 5 days after booking they cancel the flight with no.alternative flight available
I then asked for a refund which they said would take between 3/6months, so now I'm left with no flight and no money to purchase from another airline.
How on earth are they allowed to get away with this is unbelievable and surley illegal, I've also noticed all similar offers have gone too, they are obviously just on a cash collecting scam along with Malindo owned by Malaysia air offering cheap flights that will never take off but they just keep collecting the money.
Do not trust these thieves",mas
Mickey Pearson,"With the E-Voucher Malaysia Airlines is forcing onto their customers for flights and tickets they have cancelled, they are willingly practissing FRAUD, as the value the E Voucher is only a fraction of the cost the new portion of a return segment of the ticket would cost the customer.

Here is an example:
Cancelled return portion of a ticket: Doha-K.L.-Denpasar
E Voucher value Malaysia Airlines gives is: 3,100
Actual cost to buy a new ticket Doha-K.L.-Denpasar: MYR 10,250

Defraud the passenger by Malaysia Airlines: MYR 7,150

It is absolutely shocking that the national carrier of Malaysia is so blatently practissing FRAUD on their clients/passengers and not honoring their purchased tickets, for which the client has already paid in full once before.

These are the corrupt and fraudulent business practices of Malaysia Airlines.",mas
Aaron,"I'm Malaysian. I booked Malaysian airlines during COVID-19 to go back home from KLL to MYY. Apparently it was cancelled on the 27th March 2021 but they didn't inform me at all. So I only found out that it was cancelled when I was about to depart the day before, I tried to…",mas
Geoff P,"We have not travelled yet - however there is no option for this on any of the dropdown menus on this website !! Tickets booked and paid for in July 2019. The itinerary was KL to Langkawi and then Langkawi to Bangkok. Following the advend of Covid19, it was obvious that this…",mas
AiMinPP,"Booked a flight PP - NRT for Sept 2020, worried about COVID situation and sent them an inquiry message, then my ticket was immediately turned into a voucher without my consent. Of course my flight was canceled after all, they now refuse to refund. Tried to communicate with them…",mas
kavya b,I received flight cancellation notification in Feb (2nd Apr flight was booked from Bengaluru to Melbourne) due to covid restrictions. Airline imposed the cancellation fees on passenger/us and so far I haven’t received refund for the cancellation. The customer service team does…,mas
Bum,"Dont buy from malaysia airline. Malaysia airline is cancelling your trips while selling new tickets. Keeping all your money to keep the company running. My original flights was in December last year, after cancelled us the fifth time, we decided to buy Singapore airline. Bang!…",mas
Jeff Kit,"I also got flight cancelled by MAS, they said due to COVID the government restrict and they had to cancel all flights on April and i find no proof from it. Ridiculous excuses by giving open ticket as an option to no refund to you, and they expect you to reschedule the flight for…",mas
Felicia H,"Due to COVID, we had to rebook our flights. To cut a long story short, Malaysia Airline refused to refund as I have a NON-REFUNDABLE ticket. Their open ticket is limited to travel at a time when I cannot travel. So no help. Basically, If you are rich, MAS welcomes you to buy a…",mas
RJ,"I had few flight bookings for 2020 but due to covid-19 all flights were cancelled, all other airlines refunded my ticket except Malaysia Airline. Terrible. Inconsiderate. No option to cancel or refund ticket online, required to call their CS to request cancellation otherwise…",mas
Liu Shu Sheng,"1.the food was disgusting! 2.the airlines no refunds my money! 3.some cabin crew are really rude with me and call me to stop take photos! 4.the seats was really uncomfortable! 5.the airline say he will delay a few hour,but he delay like 4-5 hour! 6.when i want to see the…",mas
Benjamin W,Avoid Malaysia airlines at all costs. I had paid for a return flight with additional paid for seat selection. Of course coronavirus came and I was contacted by them in the very early stages to convert for ticket to a voucher. I have since been trying to request a refund from…,mas
AnaY,I booked my flight from Malaysia to Taiwan a year ago before the covid thing came. Now due to MCO they have cancelled our flights. Of course we won’t mind but what we do mind is that THERE IS NO REFUND. They say they can change the date of the flight instead in the email they…,mas
Survi Saloni,My flight was booked in April from bangalore to kualalampur.Due to Covid the flight got cancelled and after 6+ months of followup finally they have denied my Refund. I have Very bad experience in dealing with these idiots. Requesting others to book another legitimate flights for…,mas
ATraveller16,Worst airline experience when covid hit back in March. I was in Nepal and had a flight booked for 23 March (it was 19 March). Heard a rumour that KTM airport was going to close in 24 hours. Went straight to MA office the next morning. Was told that “yes the flight is cancelled…,mas
Crafty nanna,I booked with MA for return flights from LHR to Kota Kinabalu in early April and the flights were cancelled due to Covid. I requested a refund but got told it wasn’t possible after a lengthy argument they agreed to refund and that was in April. It’s now mid Dec and still no…,mas
The1Arik,I have just received an email from Malaysian Airlines that my flight has been cancelled. In this case I will be in serious trouble as I have prior commitment at my destination home country as well as I will have to face financial loss due to pre booked hotel and rent a car for…,mas
Refat A,"Malaysian airlines..one of the worst customer service after Saudia.. had an extremely bad experience with them., not just me my friend too. never ever fly with them ever again, and will never ever let any of my friends, colleague and family member to fly with them.. that one…",mas
Raghavendra Krishnamurthy,"Last year September when I needed to travel to Bangalore from Melbourne, I overlooked my plane ticket and when I went to check in counter the lady refused to board me in citing that my last name do match with passport.The issue is the first part of my surname which actually is a…",mas
